"","NR_0h_Amp.62_R1.07202015.Left.P3","NR_0h_Amp.62_R1.11302015.Left.P3","NR_0h_Amp.75_L1.11302015.Left.P3","NR_12h_Amp.64_L1.07202015.Left.P3","NR_12h_Amp.64_M00.07202015.Left.P3","NR_12h_Amp.67_R1.07202015.Left.P3","NR_14d_Amp.63_R1.07292015.Left.P3","NR_14d_Amp.77_L2.12012015.Left.P3","NR_14d_Amp.80_L1.12012015.Left.P3","NR_21d_Amp.71_L2.01082016.Left.P3","NR_21d_Amp.79_L1.01082016.Left.P3","NR_21d_Amp.79_R1.12022015.Left.P3","NR_24h_Amp.63_R1.08132015.Left.P3","NR_24h_Amp.68_M00.12032015.Left.P3","NR_24h_Amp.73_L1.08132015.Left.P3","NR_3d_Amp.68_R1.07232015.Left.P3","NR_3d_Amp.69_L1.11192015.Left.P3","NR_3d_Amp.70_L1.07232015.Left.P3","NR_3h_Amp.63_R1.07142015.Left.P3","NR_3h_Amp.64_L1.07142015.Left.P3","NR_3h_Amp.75_M00.07142015.Left.P3","NR_6h_Amp.60_R1.07152015.Left.P3","NR_6h_Amp.74_M00.07152015.Left.P3","NR_6h_Amp.76_M00.11192015.Left.P3","NR_7d_Amp.63_L1.07232015.Left.P3","NR_7d_Amp.65_R1.11182015.Right.P3","NR_7d_Amp.72_R2.11182015.Right.P3","NR_7d_Amp.73_M00.07232015.Left.P3","NR_7d_Amp.75_M00.11182015.Left.P3"
"0610007P14Rik",117,212.45,203.83,98,176.31,140.8,162.9,326,185.51,200.11,212.86,160.93,196.06,167.39,140.42,61,213.23,63,85.99,32,3,26.08,115.07,167.62,42,24,198,93.65,100.66
"0610009B22Rik",36.03,143.3,194.01,31.6,77.15,52,110,50,185.04,153.69,295.14,169.51,73.7,116.05,42,53.18,159.51,74.13,64.01,73.29,25,56,72,134.94,46,1,163.16,47.88,114
"0610009L18Rik",1,0,2,0,0,1,12,0,5,7,3,7,0,1,0,0,0,8,0,0,0,4,3,0,0,0,9,0,0
"0610009O20Rik",69,125,142,43,107.03,48,96.29,147,180.39,140,259.69,154,82.45,89,67.69,25,101,38,69,30,11,35,70,82.01,30,78.19,76,91,16
"0610010F05Rik",157,325.27,293.01,274,427,232,287,33,477.01,323,270,446,337,426,265,110.74,292.3,138,144,45,46,204,216.01,404,103,168,210,169,100
"0610010K14Rik",111.55,109.27,114.62,70.33,93.93,70.14,71.97,487.09,168.43,169.25,249.08,192.12,101.56,174.92,72.46,47,98.85,87.93,54.15,66,16,65.78,79,201.51,52.53,0,74.52,21.12,29
"0610012G03Rik",14.02,30.86,45.22,17.31,40.1,47.69,25.31,295.61,97.75,78.83,119.53,93.41,53.34,54.49,70.02,16.99,51.4,70,39.1,17,4,34.07,24.01,34.96,24.01,88.94,68.77,40.01,34.82
"0610030E20Rik",154.19,376.78,399.27,214.78,350.78,189.05,290.79,129.82,491.11,415.97,553.11,425.59,257.26,288.33,149.08,150.02,368.27,243,156.93,59,44,226.83,264.51,373.67,118.47,97.22,381.18,260.66,173.28
"0610037L13Rik",158,253,348,143,237,173,188,214,302.91,370,391,520,349.63,214,157,130.4,281,149,143,100,38,152,167.99,359,147,76,344,188,149
"0610040J01Rik",20,8.99,37,8,22,12,19,17,15,36.97,87.01,6,17,23,10,7,6,1,0,0,0,16,16,10,0,0,0,0,0
"1110002E22Rik",0,0,2,0,4,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0
"1110004E09Rik",125,425,529,61,233,176,190,268,392,536,448,653,274,484,186,79,506,107,91,61,12,139,74,393,70,329,483,89,222
"1110004F10Rik",358,823,767,424,527,410,502,327,813,812,821,1136,543,849,373,214,628,352.12,340,142,112,329,377,760,154,172,562,268,262.12
"1110008F13Rik",227,661.74,575.56,272.92,455.01,289.24,429.32,1121,908.13,676.78,673.31,557.64,683.82,766.8,380,168,789,254,251,180,73,296.14,282.63,879.72,180,129,422,296,307
"1110008L16Rik",64.17,90.82,67.72,48,83.63,61.6,83,0,114.15,119.03,157.21,121.2,105.46,121.38,35.37,46.93,88.56,65,65.95,27.67,19.89,57.23,98.39,125.04,32.32,111,71.13,62.28,0
"1110008P14Rik",94.21,278.54,232.23,58.15,152.86,90.39,139.19,1159.18,224.4,317.87,367.93,245.42,137.42,354.86,88.08,101.37,271.73,105,140.17,49,67,93.56,116.81,285.84,71.56,0,158,59,136
"1110012L19Rik",57,62,65,27,26,33,47,7,45,70,63,88,36,51,12,21,50,53,25,13,11,45,27,53,13,66,59,32,45
"1110017D15Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",19060.13,446.87,834.61,3581.18,4935.94,2488.91,5939.44,7205.5,683.1,4287.05,73947.49,333.95,1827.29,2030.27,1318.87,4532.96,859.01,896.46,851.1,788.14,6.44,3238.09,510.08,4870.82,2548.52,34.3,184.91,284.04,22.14
"1110032A03Rik",144.37,161.19,88.74,27.47,102.78,54.15,148.03,5,133.7,141.13,167.53,147.04,51.74,104.66,88,58.77,120.43,128.37,86.55,43.88,18,35,61.24,107.5,57.39,51,103.31,81.01,26
"1110032F04Rik",0,3,4,0,0,2,14,0,2,0,2,2,2,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0
"1110034G24Rik",51.76,80.5,88.06,59.33,91.64,97.92,89.46,31.81,162.24,102.77,88.31,181.23,34.58,90.31,87.56,69.92,183.87,113.72,24.97,8.22,7.88,25.53,35.03,60.8,29.31,1188.96,233.07,23.75,114.99
"1110037F02Rik",433,1047,849.02,391,557,341,463,74,814.23,863.94,806.01,840.37,462.95,695.93,388,229,830,396.46,308,118,63,296.98,285,774,208,1668,699.29,292.54,316.01
"1110038F14Rik",109,203,168,99,76,87,106,187,215,216,225,207,143,171,62,42,172,45,56,35,8,82,93,185,32,0,154,53,138
"1110051M20Rik",77.77,101.04,86.03,31,77.2,27,96.66,196.85,118.38,133,104.98,113.38,70,61,18,40.42,72,64.06,73,22,21.73,27,42,73.13,38.71,12,75,26,51
"1110057P08Rik",0,0,0,0,8,0,0,0,0,2.18,17.71,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,19.99,0
"1110059E24Rik",52,123,105,102,91,71,58,39,138,112.02,126,144,126,113,51,42,158,79,40,32,7,28,52,111,40,0,82,32,113
"1110059G10Rik",16.1,90.68,54.44,19,48.8,42.77,67.18,7,101.28,93.67,104.09,127.99,67.5,75.31,26.02,37.47,77.39,15.01,27.04,18,8,56.88,32.06,82.12,22.03,78,43,12,52
"1110065P20Rik",9,6.38,5.71,14,25.88,7.56,43.09,165.09,31.92,9.89,11.3,39.56,24.4,8.83,0,3.52,6.84,2.28,13.06,0,22,13.08,4.85,4.09,14,0,1,5,6
"1190002N15Rik",169,503,495,123,212,147,535,80,498.49,822,820,662,238,268,167,151,303,184,229,108,34,180,191,333,141,197,328,239,131.5
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,1.45,0,28.17,4.93,13.84,11.23,0,0,1.7,0,0,1.59,0,0,0,0,1.8,0,4.88,0,0,4.86,23.96,4
"1190007I07Rik",25,29,26,6,19,8,28,36,23,42,48.95,62.71,20,27.11,16,14,24.5,4,7,2,0,13,10,37,8,0,18,29,35
"1300017J02Rik",0,2,0,0,0,3,0,0,0,1,0,1,4,1,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0
"1500009C09Rik",0,2,0,0,2,0,0,0,0,0,1.99,1,0,3,0,0,0,0,0,0,0,0,0,4.66,0,0,1.72,0,11
"1500009L16Rik",5,5,2,0,4,4,20,0,5,11,2,12,1,1,0,5,3,2,0,0,0,9,0,0,2,0,14,14,0
"1500011B03Rik",73.66,123.06,119.63,30.59,89.6,29.44,91.28,371.27,144.69,142.21,188.14,146.56,58.81,95.22,45.96,29.85,124.32,91.58,36.62,27.47,6,54.96,48.27,140.88,21.79,0,110.96,3,109.44
"1500011K16Rik",56,37,28,47,22,24,28,170,39,45.82,72.08,51,36,49,13,8,31,29,23,38,13,23,29,34,20,0,40,13,42
"1500015O10Rik",67,141,37,25,59,43,188,279,196,109,59,175,27,59,70,26,27,58,16,0,40,89,8,148,15,0,31,79,8
"1520401A03Rik",2,2,6,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
"1600002H07Rik",41,105.75,83.55,35,49,26,70.38,130,89.13,108.2,125.54,100.24,45.42,51,24,25,83.31,37,28,12,6,31.22,44.98,86,40.11,139,55.64,20,40.64
"1600002K03Rik",23,40,30,5,15,4,26,134,41,33,33,23,19,27,12,4,25,27,16,4,0,17,16,27,9,0,32,0,7
"1600012H06Rik",275.21,429.32,409.59,323.17,448.75,230.8,516.73,153.08,660.08,583.54,820.75,648.36,428.97,392.25,233.88,225.21,440.78,335.05,291.75,146.85,96,375.52,281.96,558.03,246.61,41,306.45,360.36,227.79
"1600014C10Rik",20,65,91,59,72,44,62,207,134,66,120,79,54,53,26,22,87,42,24,10,4,26,8,46,19,0,23,90,35
"1600014C23Rik",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,1.05,0,1.79,0,1.24,1.15,0,0,0,0,0,0,3.75,0,0,0,0,0,0,1.39,0,0,4.56,0,7
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"1700001K19Rik",0,5,6,1,1,0,3,6,4,10,17,4.25,1,4,4,0,6.07,0,2,0,15,1,6,0,3,0,4,0,0
"1700001L19Rik",1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700001O22Rik",3,11,1,3,2,0,0,26,5,8,21,2,11,6,4,2,1,3,0,0,9,0,4,3,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,1,0,0,0,4.37,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
"1700003E16Rik",16,11,8,13,5,0,1,28,5,15,26,7,7,4,10,4,13,9,7,4,0,8,1,4,1,0,11,12,0
"1700003F12Rik",0,0,0,0,2,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"1700007K13Rik",0,8,1,0,11,3,9,4,6,3,15,1,4,6,1,9,10,0,0,0,0,2,1,1,4,0,0,0,0
"1700008O03Rik",0,1.07,0,0,0,0,0,0,0.54,0,0,1,0,0,0,0,0,0,3.38,0,0,0,2.14,1.05,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0.95,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,1.02,0,0,1,0,0,1.01,0,9,4,2.07,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,1,0,7,0,8,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
