,Dusp4,Nfatc1,Saa3,Sfrp4
GSM5429656_T-7P,-0.7486735101667789,-0.7033970182123311,-0.4375131849045072,-0.4921687979911119
GSM5429657_T-7V,-0.19377432027846042,0.043641420837991385,-0.4383103920467565,0.1261182544852224
GSM5429658_T-14P,-0.4315882588020255,-0.6879941637989224,-0.44309363490025233,-0.4552561381417785
GSM5429659_T-14V,-1.0657587615315323,-0.24131138581006978,-0.43953277633153875,-0.28914916881977826
GSM5429660_T-30P,2.105093752116002,-0.7496055814525573,-0.4440502834709515,-0.4667913443446952
GSM5429661_T-30V,-0.11450300743727208,-0.680292736592218,-0.44474119632756753,-0.48063359178819526
Reg_0h_Amp.11_R1.11302015.Right.P3,-0.17632121956244148,0.13125581804077643,-1.0264022045764831,-0.6536363574797278
Reg_0h_Amp.13_L1.11302015.Right.P3,-0.23620389790440274,-0.6515797205548629,-0.8921851958706402,-0.7593567327753826
Reg_0h_Amp.19_R1.07202015.Right.P3,-0.6553826462981315,-0.8012122283621137,-1.0264022045764831,-0.797114009666688
Reg_3h_Amp.17_M00.07142015.Right.P3,-0.9148742524466301,-0.5622041731469324,-1.0264022045764831,-1.1595838678232189
Reg_3h_Amp.19_R1.07142015.Right.P3,-1.0546005019112064,-0.5117095135944294,-1.0264022045764831,-1.0085547602579976
Reg_3h_Amp.21_L1.07142015.Right.P3,-1.1943267513757827,-1.1883379515979706,-1.0264022045764831,-1.3483702522797452
Reg_6h_Amp.10_M00.07152015.Right.P3,-0.6154608607368239,-0.21197321449077106,0.5842018998936326,0.08640626958985592
Reg_6h_Amp.20_M00.11192015.Right.P3,-0.5555781823948627,-0.52180844550493,0.047333865070260654,-0.07972574873188737
Reg_6h_Amp.20_R1.07152015.Right.P3,-0.7551871102014002,-0.37705708812108785,0.19228823447257107,-0.6989450897492941
Reg_12h_Amp.13_M00.07202015.Right.P3,-1.0346396091305528,-0.878637373009285,-0.6237511784589542,0.20722955564203288
Reg_12h_Amp.19_R1.07202015.Right.P3,-0.8150697885433614,-0.8449742666409497,-0.2211001523414253,0.350707207828993
Reg_12h_Amp.25_L1.07202015.Right.P3,-1.094522287472514,-1.0503192154877954,-1.0264022045764831,0.7735887090116123
Reg_24h_Amp.16_L1.08132015.Right.P3,-0.5755390751755165,-0.7271533943517758,-0.2211001523414253,1.2870876747333644
Reg_24h_Amp.21_R1.08132015.Right.P3,-0.5156563968335552,-0.4814127178629275,2.1424613709684697,1.3474993177594528
Reg_24h_Amp.29_M00.12032015.Right.P3,-0.4358128257109402,-1.1950705728716375,0.5842018998936326,-0.419541240753635
Reg_3d_Amp.21_L1.11192015.Right.P3,2.1191814502127393,0.8247158092284853,1.1210699347170046,2.374497249202957
Reg_3d_Amp.23_R1.07232015.Right.P3,-0.23620389790440274,-0.43765067958409154,-0.7579681871647972,-0.14013739175797585
Reg_3d_Amp.24_L1.07232015.Right.P3,0.5422709205410935,-0.5083432029575958,0.5842018998936326,0.15988193042033597
Reg_7d_Amp.16_L1.07232015.Right.P3,1.061254132838091,0.33660076688762225,1.6579379695403764,1.5438371575942402
Reg_7d_Amp.16_M00.07232015.Right.P3,2.019376986309471,0.6395687242026407,-1.0264022045764831,2.163056498611647
Reg_7d_Amp.19_L1.11182015.Left.P3,0.9814105617154759,0.0571969840304386,-1.0264022045764831,0.041097537320289576
Reg_7d_Amp.23_R1.11182015.Left.P3,0.02328770824409599,0.4173922221716272,-0.3553171610472683,-0.034417016462321016
Reg_7d_Amp.24_M00.11182015.Right.P3,2.378673056361238,1.6591232267804144,2.3598929250719354,1.2040216655724927
Reg_7d_Amp.26_R2.11182015.Left.P3,-0.33600836180767146,-0.046216078733087786,0.491592163886601,-0.47240142840146243
Reg_14d_Amp.14_R1.07292015.Right.P3,-0.7152653246400927,-0.3299287392054183,-0.8921851958706402,-1.182238233958002
Reg_14d_Amp.42_L1.12012015.Right.P3,0.502349134979786,-0.0104995228762839,0.44998489118778956,-0.2232034009188475
Reg_14d_Amp.42_L2.12012015.Right.P3,1.5802373451350882,2.1060009638200663,1.6579379695403764,0.4111188508550815
Reg_21d_Amp.26_L2.01082016.Right.P3,0.26281842161194097,2.602531782753013,0.20705210543021374,-1.2653042431188737
Reg_21d_Amp.27_L1.01082016.Right.P3,0.9015669905928609,2.400149187266581,0.44998489118778956,-0.5630188929405952
Reg_21d_Amp.27_R1.12022015.Right.P3,-0.455773718491594,0.16155261377227828,-0.3553171610472683,-1.1444809570666967
NR_0h_Amp.62_R1.07202015.Left.P3,-0.5375989881619861,-0.5542334062494552,-0.4258393846056481,0.6243115470837877
NR_0h_Amp.62_R1.11302015.Left.P3,-0.03297029569647611,-0.454291972403878,-0.6937041510687904,0.7000648310395611
NR_0h_Amp.75_L1.11302015.Left.P3,0.5513366113688514,-0.2856408027894664,-0.5669536492568832,0.3970516952164675
NR_12h_Amp.64_L1.07202015.Left.P3,-0.6969554173616209,-0.6042041231722438,-0.6647825204869005,-0.8150008480759069
NR_12h_Amp.64_M00.07202015.Left.P3,0.20606434810297605,-0.5042626893266666,0.3892071040745944,0.422302789868392
NR_12h_Amp.67_R1.07202015.Left.P3,-0.5375989881619861,-0.6229431420182896,-0.16282724072335977,-0.7897497534239823
NR_14d_Amp.63_R1.07292015.Left.P3,-0.5375989881619861,1.4758269687388323,-0.6960334099076003,0.9020735882549568
NR_14d_Amp.77_L2.12012015.Left.P3,-0.7500742270948325,-1.1288966508615244,-0.5118278567383814,-1.2947716464624717
NR_14d_Amp.80_L1.12012015.Left.P3,2.649529595830709,2.583053128955521,3.8691198092566346,2.2908837941108025
NR_21d_Amp.71_L2.01082016.Left.P3,0.8169306600349093,2.131692628350433,-0.6428486664214401,-0.5877409962085867
NR_21d_Amp.79_L1.01082016.Left.P3,0.020148514036735482,1.5882610818151068,-0.48950579286645296,-0.9412563213355292
NR_21d_Amp.79_R1.12022015.Left.P3,0.09982672863655287,1.487632550611841,-0.3456740595699396,0.3212984112606941
NR_24h_Amp.63_R1.08132015.Left.P3,0.4185395870358224,-0.43555295355783225,0.8494298296427902,-0.10797019782202182
NR_24h_Amp.68_M00.12032015.Left.P3,-0.11264851029629348,-0.6541748400950325,1.0425642083607807,-0.3857322389931909
NR_24h_Amp.73_L1.08132015.Left.P3,0.7106930405684861,-0.5917114439415466,0.0999907982556944,2.7959056871492916
NR_3d_Amp.68_R1.07232015.Left.P3,0.020148514036735482,-0.5042626893266666,0.12871832393435018,-0.4867366176008888
NR_3d_Amp.69_L1.11192015.Left.P3,0.020148514036735482,-0.18569936894388914,1.062168803587431,-0.8150008480759069
NR_3d_Amp.70_L1.07232015.Left.P3,-0.5375989881619861,-0.3168725008662093,2.244461769186706,-0.15847238712587075
NR_3h_Amp.63_R1.07142015.Left.P3,-0.11264851029629348,-0.4417992931731808,-0.4382620984126344,-0.6887453748162845
NR_3h_Amp.64_L1.07142015.Left.P3,-0.431361368695563,-1.19136004701501,-0.7447537406193747,-0.8402519427278313
NR_3h_Amp.75_M00.07142015.Left.P3,-1.0422276806274964,-1.1601283489382672,-0.6280966937756439,-0.0069658192143239595
NR_6h_Amp.60_R1.07152015.Left.P3,-0.431361368695563,0.7012808564356088,-0.11876542768920521,1.8868662796800109
NR_6h_Amp.74_M00.07152015.Left.P3,-0.19232672489611088,-0.5667260854801524,-0.11663027375362946,-1.092762889247076
NR_6h_Amp.76_M00.11192015.Left.P3,-0.0860891054296877,-0.060772576636917604,-0.13856412781908964,-0.03221691386624843
NR_7d_Amp.63_L1.07232015.Left.P3,-0.8828712514278615,-0.6042041231722438,-0.6477012890022942,-1.0422606999432271
NR_7d_Amp.65_R1.11182015.Right.P3,3.711905790494941,0.4826589698984086,0.22577077555143074,-0.03221691386624843
