,0
GSM5429656_T-7P,0.0
GSM5429657_T-7V,1.0
GSM5429658_T-14P,0.0
GSM5429659_T-14V,1.0
GSM5429660_T-30P,0.0
GSM5429661_T-30V,1.0
Reg_0h_Amp.11_R1.11302015.Right.P3,1.0
Reg_0h_Amp.13_L1.11302015.Right.P3,1.0
Reg_0h_Amp.19_R1.07202015.Right.P3,1.0
Reg_3h_Amp.17_M00.07142015.Right.P3,1.0
Reg_3h_Amp.19_R1.07142015.Right.P3,1.0
Reg_3h_Amp.21_L1.07142015.Right.P3,1.0
Reg_6h_Amp.10_M00.07152015.Right.P3,1.0
Reg_6h_Amp.20_M00.11192015.Right.P3,1.0
Reg_6h_Amp.20_R1.07152015.Right.P3,1.0
Reg_12h_Amp.13_M00.07202015.Right.P3,1.0
Reg_12h_Amp.19_R1.07202015.Right.P3,1.0
Reg_12h_Amp.25_L1.07202015.Right.P3,1.0
Reg_24h_Amp.16_L1.08132015.Right.P3,1.0
Reg_24h_Amp.21_R1.08132015.Right.P3,1.0
Reg_24h_Amp.29_M00.12032015.Right.P3,1.0
Reg_3d_Amp.21_L1.11192015.Right.P3,1.0
Reg_3d_Amp.23_R1.07232015.Right.P3,1.0
Reg_3d_Amp.24_L1.07232015.Right.P3,1.0
Reg_7d_Amp.16_L1.07232015.Right.P3,1.0
Reg_7d_Amp.16_M00.07232015.Right.P3,1.0
Reg_7d_Amp.19_L1.11182015.Left.P3,1.0
Reg_7d_Amp.23_R1.11182015.Left.P3,1.0
Reg_7d_Amp.24_M00.11182015.Right.P3,1.0
Reg_7d_Amp.26_R2.11182015.Left.P3,1.0
Reg_14d_Amp.14_R1.07292015.Right.P3,1.0
Reg_14d_Amp.42_L1.12012015.Right.P3,1.0
Reg_14d_Amp.42_L2.12012015.Right.P3,1.0
Reg_21d_Amp.26_L2.01082016.Right.P3,1.0
Reg_21d_Amp.27_L1.01082016.Right.P3,1.0
Reg_21d_Amp.27_R1.12022015.Right.P3,1.0
NR_0h_Amp.62_R1.07202015.Left.P3,0.0
NR_0h_Amp.62_R1.11302015.Left.P3,0.0
NR_0h_Amp.75_L1.11302015.Left.P3,0.0
NR_12h_Amp.64_L1.07202015.Left.P3,0.0
NR_12h_Amp.64_M00.07202015.Left.P3,0.0
NR_12h_Amp.67_R1.07202015.Left.P3,0.0
NR_14d_Amp.63_R1.07292015.Left.P3,0.0
NR_14d_Amp.77_L2.12012015.Left.P3,0.0
NR_14d_Amp.80_L1.12012015.Left.P3,0.0
NR_21d_Amp.71_L2.01082016.Left.P3,0.0
NR_21d_Amp.79_L1.01082016.Left.P3,0.0
NR_21d_Amp.79_R1.12022015.Left.P3,0.0
NR_24h_Amp.63_R1.08132015.Left.P3,0.0
NR_24h_Amp.68_M00.12032015.Left.P3,0.0
NR_24h_Amp.73_L1.08132015.Left.P3,0.0
NR_3d_Amp.68_R1.07232015.Left.P3,0.0
NR_3d_Amp.69_L1.11192015.Left.P3,0.0
NR_3d_Amp.70_L1.07232015.Left.P3,0.0
NR_3h_Amp.63_R1.07142015.Left.P3,0.0
NR_3h_Amp.64_L1.07142015.Left.P3,0.0
NR_3h_Amp.75_M00.07142015.Left.P3,0.0
NR_6h_Amp.60_R1.07152015.Left.P3,0.0
NR_6h_Amp.74_M00.07152015.Left.P3,0.0
NR_6h_Amp.76_M00.11192015.Left.P3,0.0
NR_7d_Amp.63_L1.07232015.Left.P3,0.0
NR_7d_Amp.65_R1.11182015.Right.P3,0.0
NR_7d_Amp.72_R2.11182015.Right.P3,0.0
NR_7d_Amp.73_M00.07232015.Left.P3,0.0
NR_7d_Amp.75_M00.11182015.Left.P3,0.0
