,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Xkr4,13,3,0,0,1,1,1,0,0
Rp1,5,0,0,0,0,3,0,0,0
Sox17,0,0,0,0,0,0,0,0,0
Mrpl15,1238,148,51,11,70,25,31,23,26
Lypla1,888,102,40,9,45,12,13,10,10
Gm37988,1,0,0,0,1,0,0,0,0
Tcea1,1890,295,101,31,156,61,81,48,55
Rgs20,0,2,0,0,2,0,0,0,0
Gm16041,2,0,0,0,0,0,0,0,0
Atp6v1h,1043,427,111,16,133,60,57,15,34
Rb1cc1,2248,274,79,27,140,44,77,44,39
4732440D04Rik,68,24,10,4,13,7,9,6,5
St18,2,0,0,0,0,0,0,0,0
Pcmtd1,2349,255,58,19,122,54,41,41,39
Gm26901,24,2,0,0,0,0,1,0,0
Sntg1,4,2,4,0,2,0,0,1,0
Rrs1,527,128,29,6,54,14,32,16,15
Adhfe1,39,8,0,1,11,1,7,1,2
Mybl1,30,8,3,2,7,2,2,1,0
Vcpip1,739,89,39,12,62,17,37,18,5
1700034P13Rik,1,1,0,0,0,0,0,0,0
Sgk3,301,27,7,5,17,9,5,6,7
Mcmdc2,11,5,6,0,5,2,0,1,3
Snhg6,1415,323,81,31,141,41,43,32,37
Tcf24,18,3,3,0,1,1,0,3,0
Ppp1r42,1,0,0,0,1,0,0,0,0
Cops5,1354,185,65,22,65,33,29,28,29
Cspp1,815,95,23,14,74,27,26,10,15
Arfgef1,1393,170,42,13,80,41,43,24,33
Cpa6,112,6,2,3,3,7,3,2,5
Prex2,728,35,11,19,88,21,18,33,37
A830018L16Rik,2,1,1,0,0,0,0,0,0
Sulf1,1090,144,77,9,114,45,49,49,40
Slco5a1,84,5,0,0,7,0,3,4,4
Prdm14,1,0,0,0,0,0,0,1,1
Ncoa2,854,98,31,11,38,20,26,18,15
Tram1,3549,465,118,27,250,86,94,50,50
Lactb2,291,28,9,4,14,7,14,10,6
Eya1,58,1,0,1,5,3,4,2,2
Gm9947,4,3,0,0,5,1,2,0,0
