"","x"
"1","0610012G03Rik"
"2","1110008F13Rik"
"3","1110008P14Rik"
"4","1110034G24Rik"
"5","1110065P20Rik"
"6","1700017B05Rik"
"7","1700027J19Rik"
"8","1700037H04Rik"
"9","2010107E04Rik"
"10","2010107G23Rik"
"11","2210016F16Rik"
"12","2310036O22Rik"
"13","2310039H08Rik"
"14","2310046K23Rik"
"15","2410016O06Rik"
"16","2510039O18Rik"
"17","2610524H06Rik"
"18","2610528A11Rik"
"19","2810428I15Rik"
"20","5031439G07Rik"
"21","6030419C18Rik"
"22","AA467197"
"23","AI837181"
"24","AW551984"
"25","Aacs"
"26","Aamp"
"27","Abcb8"
"28","Abhd12"
"29","Abhd14a"
"30","Abhd4"
"31","Abhd8"
"32","Abtb1"
"33","Acaa1a"
"34","Acads"
"35","Acan"
"36","Acbd6"
"37","Acd"
"38","Acod1"
"39","Acp5"
"40","Acp7"
"41","Acsf3"
"42","Actb"
"43","Actg1"
"44","Actn1"
"45","Actr1b"
"46","Acvrl1"
"47","Adam12"
"48","Adam15"
"49","Adam19"
"50","Adam8"
"51","Adamts1"
"52","Adamts14"
"53","Adamts2"
"54","Adamts4"
"55","Adamts7"
"56","Adck2"
"57","Adck5"
"58","Adgra2"
"59","Adgrb2"
"60","Adgrg3"
"61","Adm"
"62","Adnp"
"63","Adra2a"
"64","Adrm1"
"65","Aebp1"
"66","Aes"
"67","Agpat1"
"68","Agpat2"
"69","Agpat4"
"70","Ahcy"
"71","Aimp2"
"72","Aip"
"73","Ak1"
"74","Akr1b3"
"75","Akr1b8"
"76","Akr7a5"
"77","Akt1s1"
"78","Aldh1a3"
"79","Aldh3b2"
"80","Alg1"
"81","Alkbh7"
"82","Amdhd2"
"83","Anapc11"
"84","Anapc2"
"85","Angptl2"
"86","Angptl4"
"87","Angptl6"
"88","Ankrd13b"
"89","Ankrd50"
"90","Ankrd54"
"91","Ankrd9"
"92","Antxr1"
"93","Anxa1"
"94","Anxa2"
"95","Anxa6"
"96","Ap1m1"
"97","Ap1s1"
"98","Ap2a1"
"99","Ap2m1"
"100","Ap2s1"
"101","Aph1a"
"102","Apln"
"103","Aplnr"
"104","Aplp1"
"105","Apoa1bp"
"106","Apoe"
"107","Apol8"
"108","Aprt"
"109","Aqp1"
"110","Arap1"
"111","Arc"
"112","Areg"
"113","Arfgap1"
"114","Arfgap3"
"115","Arhgdib"
"116","Arhgef1"
"117","Arhgef10l"
"118","Arhgef40"
"119","Arid5a"
"120","Arl2"
"121","Arl4d"
"122","Arl5b"
"123","Armc5"
"124","Arpc4"
"125","Arpin"
"126","Arsa"
"127","Arsi"
"128","Artn"
"129","Asb6"
"130","Asl"
"131","Aspn"
"132","Asprv1"
"133","Atf6b"
"134","Atg101"
"135","Atg16l2"
"136","Atg2a"
"137","Atg4b"
"138","Atg4d"
"139","Atox1"
"140","Atp13a1"
"141","Atp13a2"
"142","Atp5d"
"143","Atp5e"
"144","Atp5g1"
"145","Atp5g2"
"146","Atp5j2"
"147","Atp5k"
"148","Atp5l"
"149","Atp6ap1"
"150","Atp6v0b"
"151","Atp6v0c"
"152","Atp6v0d1"
"153","Atp6v0d2"
"154","Atp6v0e"
"155","Atxn1"
"156","Aup1"
"157","Avpi1"
"158","Azin2"
"159","B3galt4"
"160","B3gat3"
"161","B3gnt9"
"162","B4galnt1"
"163","B4galt1"
"164","B4galt2"
"165","B4galt5"
"166","BC004004"
"167","BC029722"
"168","BC100530"
"169","Babam1"
"170","Bad"
"171","Bag6"
"172","Bak1"
"173","Basp1"
"174","Bax"
"175","Bcat1"
"176","Bckdha"
"177","Bcl2a1b"
"178","Bcl2l1"
"179","Bcl3"
"180","Bcl7c"
"181","Bdkrb1"
"182","Bgn"
"183","Bhlhe22"
"184","Bicc1"
"185","Blmh"
"186","Bloc1s3"
"187","Blvrb"
"188","Bmp1"
"189","Bnc1"
"190","Bok"
"191","Bola2"
"192","Bop1"
"193","Borcs6"
"194","Brca2"
"195","Bri3"
"196","Bri3bp"
"197","Bst2"
"198","C130050O18Rik"
"199","C1qa"
"200","C1qb"
"201","C1qc"
"202","C1qtnf1"
"203","C1qtnf2"
"204","C1qtnf3"
"205","C1qtnf5"
"206","C1qtnf6"
"207","C1ra"
"208","C2cd2l"
"209","C3ar1"
"210","C5ar1"
"211","Cacna1g"
"212","Cacna2d4"
"213","Cacng7"
"214","Cad"
"215","Calm3"
"216","Calu"
"217","Capg"
"218","Capn1"
"219","Capn2"
"220","Capn6"
"221","Capns1"
"222","Capzb"
"223","Car2"
"224","Card19"
"225","Casp14"
"226","Cbr3"
"227","Cbx6"
"228","Ccdc102a"
"229","Ccdc150"
"230","Ccdc71l"
"231","Ccdc8"
"232","Ccdc85b"
"233","Ccdc86"
"234","Ccdc97"
"235","Ccl2"
"236","Ccl20"
"237","Ccl21a"
"238","Ccl22"
"239","Ccl3"
"240","Ccl4"
"241","Ccl7"
"242","Ccl9"
"243","Ccnd3"
"244","Ccr1"
"245","Ccs"
"246","Cd14"
"247","Cd151"
"248","Cd276"
"249","Cd300c2"
"250","Cd300ld"
"251","Cd300lf"
"252","Cd320"
"253","Cd44"
"254","Cd53"
"255","Cd63"
"256","Cd68"
"257","Cd81"
"258","Cd82"
"259","Cdc34"
"260","Cdc42ep1"
"261","Cdc42ep2"
"262","Cdc42ep3"
"263","Cdc42ep4"
"264","Cdc42se1"
"265","Cdca3"
"266","Cdh2"
"267","Cdh3"
"268","Cdhr1"
"269","Cdipt"
"270","Cdk16"
"271","Cdk2"
"272","Cdk2ap1"
"273","Cdk2ap2"
"274","Cdk4"
"275","Cdk5"
"276","Cdk5rap3"
"277","Cdk6"
"278","Cdk9"
"279","Cdkn1a"
"280","Cdkn1c"
"281","Cdkn2d"
"282","Cdr2l"
"283","Cebpa"
"284","Cebpb"
"285","Cebpd"
"286","Cemip"
"287","Cenpb"
"288","Cercam"
"289","Cfb"
"290","Cfl1"
"291","Cgref1"
"292","Chchd6"
"293","Chid1"
"294","Chil1"
"295","Chit1"
"296","Chmp4b"
"297","Chmp6"
"298","Chpf"
"299","Chpf2"
"300","Chtf8"
"301","Ciao1"
"302","Cilp2"
"303","Cirbp"
"304","Cited4"
"305","Ckap4"
"306","Ckb"
