"","x"
"1","Dio2"
"2","Gpr153"
"3","Tcirg1"
"4","Chsy1"
"5","St8sia4"
"6","AI597468"
"7","Nrep"
"8","Cthrc1"
"9","Dysf"
"10","Mest"
"11","Adamts2"
"12","Slc37a2"
"13","Pdia5"
"14","Procr"
"15","Col2a1"
"16","Kbtbd11"
"17","Zfp354c"
"18","Ppm1h"
"19","Myc"
"20","Mmp10"
"21","Adamts4"
"22","Slc16a1"
"23","Nfkbiz"
"24","Pdgfc"
"25","Snx10"
"26","Sprr2a1"
"27","Fkbp14"
"28","Mmp2"
"29","Apold1"
"30","Col8a1"
"31","Runx2"
"32","Hapln1"
"33","Adamts1"
"34","Adamts9"
"35","C1qtnf3"
"36","Alpl"
"37","Bgn"
"38","Pcolce"
"39","Mxra8"
"40","Ibsp"
"41","Nos2"
"42","Il1b"
"43","Lif"
"44","Emilin1"
"45","Atp6v0d2"
"46","Spi1"
"47","Cd84"
"48","Ckb"
"49","Csf3r"
"50","Kif26b"
"51","Plxnd1"
"52","Hk2"
"53","Dclk1"
"54","Pde3b"
"55","Specc1"
"56","Mmp3"
"57","Fn1"
"58","Tm4sf19"
"59","Il6"
"60","4930523C07Rik"
"61","Ccl9"
"62","Spink12"
"63","Cdk14"
"64","Syk"
"65","Loxl2"
"66","Col11a2"
"67","Clec4d"
"68","Bmp1"
"69","Sec24d"
"70","Krt17"
"71","Svep1"
"72","Adamts12"
"73","Bcat1"
"74","Peg3"
"75","Trem1"
"76","Mdk"
"77","Lyg1"
"78","Sp7"
"79","Col4a1"
"80","Rac2"
"81","Ptgs2"
"82","Sprr2e"
"83","Lum"
"84","Matn3"
"85","Col3a1"
"86","Pla2g7"
"87","Oaf"
"88","Ccl2"
"89","Fcer1g"
"90","Pmepa1"
"91","P4ha3"
"92","Cdh5"
"93","Stc1"
"94","Clec2e"
"95","1600029D21Rik"
"96","Wif1"
"97","Chi3l1"
"98","Pofut2"
"99","B3gnt9"
"100","Sele"
"101","Plat"
"102","Bach1"
"103","Matk"
"104","Pik3cd"
"105","Myo7a"
"106","Sfrp4"
"107","Ltbp2"
"108","Ptpla"
"109","Pmaip1"
"110","Col27a1"
"111","Ptx3"
"112","Peg10"
