,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_descriptive_only,note
Il1r2,85.1239596042036,1.36653164655633,0.348899770156407,3.91668829688175,8.977370136192e-05,0.208509178886348,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
AW112010,44.1351836235484,1.50384308186138,0.385329155039551,3.90274927861874,9.51062060677368e-05,0.208509178886348,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gm26802,21.6194233289404,2.03395200396048,0.580305377224444,3.50496839041665,0.0004566614987717,0.379485705479346,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Agt,10.8481026207363,2.84231326259962,0.827561191568509,3.43456567509222,0.0005935042357181,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Aldh3a1,21.8051417122305,1.93623786855149,0.565134979737054,3.42615116383768,0.0006121995700958,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Inmt,23.5495421725141,1.93666583471209,0.573886966504486,3.37464683421584,0.0007391047478966,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Sfrp2,175.387599988766,1.34079514990317,0.403524845330504,3.32270779709984,0.0008914824508062,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Klf2,362.615563394067,1.11211931552599,0.337379675436891,3.29634354554953,0.0009795215522982,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Pcolce2,144.734549191928,0.919778438562172,0.280280012162705,3.2816412111051,0.0010320483357488,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Osr2,86.9228865192336,0.996910055786676,0.306267980482364,3.25502540035876,0.0011338222483359,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tmem100,27.9186713785144,1.65819661789334,0.510108704454906,3.25067304951258,0.0011513217704358,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slc1a5,47.8689156675893,1.27374700114862,0.391903696768394,3.25015306477544,0.001153429087687,0.410785530800543,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Klf4,803.336797184783,0.886413654506077,0.277990383765164,3.18864862338147,0.0014293950949561,0.462898863814586,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Cd34,270.520321476006,1.06448331953706,0.335005084438645,3.17751392138055,0.0014854355838414,0.462898863814586,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
CR974586.5,29.4541499996864,1.84280409108085,0.582458252152172,3.16383892626077,0.0015570294187262,0.465800920906143,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Clec3b,522.604407488471,1.32127574143518,0.425686022530923,3.10387391528505,0.0019100471022646,0.504223556806941,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tnfaip6,877.39994679571,1.20327117414733,0.388214350316623,3.09950204871602,0.0019384623721614,0.504223556806941,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ccl19,88.7981772516865,1.08425754633956,0.350103419655696,3.09696359837289,0.0019551388083167,0.504223556806941,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Atf3,576.982264662005,0.976768988093042,0.318399786177211,3.06774385693024,0.0021568140356684,0.537693739092139,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Dapk1,101.799555961361,0.994756858161187,0.332208355162498,2.99437639873508,0.0027500645385913,0.588021717814048,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Lpl,174.781953129581,1.67349703201838,0.560450971294106,2.98598292755957,0.0028266842360443,0.588021717814048,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mbd1,46.3739725044865,1.1821623092431,0.398705885381936,2.96499839251346,0.0030268451116618,0.611831745678888,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tmeff2,28.30333414738,1.54387942225906,0.523084329494973,2.9514923984621,0.0031624233012592,0.618863488384081,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Man1a,150.075130240457,1.00180270383597,0.342784238410081,2.92254599710472,0.0034718233670484,0.618863488384081,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Sfrp4,42.313336438737,1.68576054665343,0.576971230549943,2.9217410806543,0.0034808077325812,0.618863488384081,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Procr,40.4850816539797,1.57752408045915,0.541654253828179,2.91241888955895,0.0035864132897491,0.618863488384081,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Osr1,21.2226191287384,1.41533095006401,0.492691411040351,2.87265196500066,0.0040704226159141,0.647716824349398,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Scara3,50.461415840242,1.05563511244007,0.372150908113542,2.83657809083727,0.0045599825574421,0.677605680029036,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ugdh,287.116763235278,1.26186283145838,0.445517237960133,2.83235467439152,0.0046206564622918,0.677605680029036,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slc10a6,16.2062190668474,1.55502383856402,0.557886693367038,2.78734706715967,0.005314153069133,0.749897184982008,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
C3,647.82843837133,1.14832142264153,0.418326614824634,2.74503553431071,0.0060504345956669,0.837985191499877,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rnase4,461.19653824423,0.838297207428948,0.308050837273491,2.72129501366912,0.0065026700561958,0.868454809826587,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mt2,900.753042921026,1.07661649585773,0.399833939340116,2.69265910151242,0.0070884705712071,0.930081954422078,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gsn,3395.76633950173,1.21097904325729,0.460116433870436,2.63189695936461,0.0084909610461598,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Cd55,60.838888908445,1.20943056510097,0.460587149700365,2.62584521927666,0.0086434111253255,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Efemp1,213.272449807994,0.997810644783752,0.381494150364739,2.61553327575211,0.008908824004527,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mmp19,40.7564779127243,1.16271689087009,0.445996342655462,2.607009922878,0.0091336713370935,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gfpt2,158.153753803081,1.17257620820173,0.453088588116186,2.5879623520799,0.0096545531967128,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Metrnl,102.416971125701,0.869443907354031,0.336004832936264,2.58759345738028,0.0096648973625545,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ntrk2,35.3370072568418,1.13729565239125,0.440437155827039,2.58219734040301,0.009817343040845,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Amy1,14.9063930840564,1.4757921332819,0.576353872194679,2.56056600723837,0.0104501809692393,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ccl7,402.607287976893,1.09727379813995,0.431978793309913,2.54011033674224,0.0110817502356887,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gja1,181.068287254999,0.661915594124955,0.26084239680916,2.53760739136756,0.0111613118202492,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fosb,1196.65383635388,0.853463832144339,0.336912274815285,2.53319304739567,0.0113028685324566,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Opcml,24.627731803398,1.13798979699864,0.449595887984802,2.53113924617812,0.0113692703553047,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slco2b1,32.0631551935328,1.12377560900814,0.460882050055555,2.43831498508714,0.0147559100679547,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Lgi2,29.2330706117799,1.02355709859094,0.422430648249561,2.42301808079572,0.0153921605690952,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Il33,37.9742687994061,1.18954728928602,0.491027048450047,2.42256978111672,0.0154111656319044,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Parp14,18.8651541615064,1.42513346919928,0.59583625536422,2.39182066611259,0.016765031775981,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fbn1,282.731052754607,0.811953782583933,0.340330749303064,2.38577849414626,0.0170430128167835,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Anxa1,356.469959361149,0.674419126198493,0.284112663108057,2.37377355454935,0.0176073450613336,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tac1,14.8678253194209,1.6552068045958,0.698259212766886,2.37047614171385,0.0177651904571873,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ghr,50.1697489524043,0.89984592278968,0.382743600616926,2.3510410659754,0.0187209675954985,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Sned1,64.5385648643728,0.98465851687737,0.419540615640609,2.34699211511111,0.0189256552831916,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Adamts5,130.694078364736,0.968547523645834,0.413771995449217,2.34077592079261,0.0192437130078245,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
