Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	13/176	3.642378e-09	5.113898e-06	0	0	9.990661e+00	1.941248e+02	COL11A2;ADAMTS12;TGFBR1;ADAMTS3;COL2A1;IBSP;ADAMTS18;COL9A1;HAS2;COL9A2;LCP1;ADAMTS9;MATN3
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	11/149	6.061358e-08	4.255073e-05	0	0	9.872026e+00	1.640607e+02	COL2A1;CDH11;COL11A2;STC1;ALPL;CHI3L1;COL9A2;SULF1;PCSK5;TGFBR1;MATN3
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	9/109	3.857295e-07	1.805214e-04	0	0	1.102919e+01	1.628805e+02	ADAMTS3;IBSP;ADAMTS18;COL9A1;COL9A2;ADAMTS12;ADAMTS9;TGFBR1;MATN3
GO_Biological_Process_2023	Regulation Of Bone Resorption (GO:0045124)	5/28	3.508817e-06	1.231595e-03	0	0	2.609618e+01	3.277741e+02	DCSTAMP;SYK;ITGB3;SPP1;GPR137B
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	8/110	4.532882e-06	1.272833e-03	0	0	9.551198e+00	1.175194e+02	ADAMTS3;IBSP;ADAMTS18;COL9A1;COL9A2;ADAMTS12;ADAMTS9;MATN3
GO_Biological_Process_2023	Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)	4/22	3.270237e-05	6.567825e-03	0	0	2.652209e+01	2.739218e+02	FCER1G;SYK;ITGB2;LCP1
GO_Biological_Process_2023	Negative Regulation Of Leukocyte Degranulation (GO:0043301)	3/8	3.274556e-05	6.567825e-03	0	0	7.122754e+01	7.355486e+02	CD84;SPI1;NCKAP1L
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	5/46	4.325102e-05	7.590554e-03	0	0	1.462602e+01	1.469694e+02	LAT2;PTPRC;SYK;PIK3CD;NCKAP1L
GO_Biological_Process_2023	Regulation Of Interleukin-8 Production (GO:0032677)	6/81	6.614054e-05	8.844579e-03	0	0	9.636585e+00	9.273988e+01	PTPRC;SYK;NOS2;CHI3L1;CD244;LAMTOR5
GO_Biological_Process_2023	Positive Regulation Of B Cell Differentiation (GO:0045579)	3/10	6.929514e-05	8.844579e-03	0	0	5.087169e+01	4.872050e+02	SPI1;SYK;NCKAP1L
GO_Biological_Process_2023	Positive Regulation Of Bone Resorption (GO:0045780)	3/10	6.929514e-05	8.844579e-03	0	0	5.087169e+01	4.872050e+02	DCSTAMP;SYK;SPP1
GO_Biological_Process_2023	Cartilage Development (GO:0051216)	5/52	7.870183e-05	9.208114e-03	0	0	1.275500e+01	1.205327e+02	WNT2B;COL2A1;COL11A2;CHI3L1;SULF1
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	11/320	9.572521e-05	1.033832e-02	0	0	4.370581e+00	4.044548e+01	CD274;PTPRC;FCER1G;SYK;NOS2;PIK3CD;CHI3L1;LCP1;SULF1;CD244;LAMTOR5
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	8/172	1.141923e-04	1.145186e-02	0	0	5.921710e+00	5.375507e+01	CDH5;CD84;ITGB2;CDH11;FAT4;EMB;SELE;ICAM1
GO_Biological_Process_2023	Leukocyte Cell-Cell Adhesion (GO:0007159)	4/31	1.325232e-04	1.240417e-02	0	0	1.767336e+01	1.578011e+02	SYK;ITGB2;SELE;ICAM1
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	7/134	1.503772e-04	1.319560e-02	0	0	6.662528e+00	5.864600e+01	LAT2;PTPRC;SYK;NFKBIZ;PIK3CD;NCKAP1L;LCP2
GO_Biological_Process_2023	Positive Regulation Of Interleukin-8 Production (GO:0032757)	5/61	1.693933e-04	1.398990e-02	0	0	1.070022e+01	9.291305e+01	SYK;NOS2;CHI3L1;CD244;LAMTOR5
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	9/236	1.937036e-04	1.510888e-02	0	0	4.827400e+00	4.127032e+01	NOS2;ITGB2;LY75;PIK3CD;CHI3L1;CXCR4;CCR5;CDO1;SELE
GO_Biological_Process_2023	Connective Tissue Development (GO:0061448)	4/38	2.968265e-04	2.029563e-02	0	0	1.402977e+01	1.139548e+02	COL2A1;COL11A2;CHI3L1;SULF1
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	5/70	3.240657e-04	2.029563e-02	0	0	9.214452e+00	7.403411e+01	FCER1G;SYK;ITGB2;PIK3CD;NCKAP1L
