Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	13/176	2.577314e-08	2.608649e-05	0	0	8.375086e+00	1.463457e+02	GSN;COL13A1;COL12A1;COL23A1;DPT;NDNF;ADAMTS5;ADAMTS1;CREB3L1;COL8A1;MMP19;TGFBI;GAS6
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	18/364	2.896889e-08	2.608649e-05	0	0	5.560757e+00	9.651830e+01	IL33;OSR2;NTRK2;GSN;SOX11;ANK3;POU3F1;KLF4;AGT;BMP6;KLF2;BMP4;SFRP4;GJA1;TYROBP;ZC3H12A;GAS6;CD34
GO_Biological_Process_2023	Positive Regulation Of Gene Expression (GO:0010628)	18/480	1.698565e-06	1.019705e-03	0	0	4.139717e+00	5.499915e+01	IL33;OSR2;NTRK2;GSN;SOX11;ANK3;POU3F1;KLF4;AGT;BMP6;BMP4;SFRP4;GJA1;TYROBP;ZC3H12A;PLXNB2;GAS6;CD34
GO_Biological_Process_2023	Positive Regulation Of Fat Cell Differentiation (GO:0045600)	6/50	1.021980e-05	4.470698e-03	0	0	1.388660e+01	1.595734e+02	SFRP2;RARRES2;ZC3H12A;METRNL;RREB1;ZFP36L1
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	8/109	1.392889e-05	4.470698e-03	0	0	8.126650e+00	9.086851e+01	ADAMTS5;COL13A1;ADAMTS1;COL23A1;COL8A1;MMP19;NDNF;TGFBI
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	8/110	1.489405e-05	4.470698e-03	0	0	8.046569e+00	8.943398e+01	ADAMTS5;COL13A1;ADAMTS1;COL23A1;COL8A1;MMP19;NDNF;TGFBI
GO_Biological_Process_2023	Positive Regulation Of Response To External Stimulus (GO:0032103)	9/155	2.668524e-05	6.023478e-03	0	0	6.343183e+00	6.680260e+01	IL33;MYO1C;RARRES2;PTN;CCL19;S100A9;BMP6;GPSM3;AGT
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	12/283	2.944998e-05	6.023478e-03	0	0	4.599749e+00	4.798834e+01	BMP4;TMEM100;GJA1;SFRP2;RARRES2;ZC3H12A;SOX11;PTN;CD34;AGT;BMP6;ZFP36L1
GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	16/483	3.010067e-05	6.023478e-03	0	0	3.599851e+00	3.747792e+01	EPHA4;OSR2;NTRK2;PDGFA;SOX11;IRS2;PTN;AGT;BMP6;BMP4;GJA1;SFRP2;BCL2;GAS6;NES;CRLF1
GO_Biological_Process_2023	Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272)	3/8	5.316210e-05	8.709799e-03	0	0	6.028934e+01	5.933776e+02	EPHA4;TYROBP;PTN
GO_Biological_Process_2023	Positive Regulation Of Ossification (GO:0045778)	5/41	5.319699e-05	8.709799e-03	0	0	1.407692e+01	1.385382e+02	BMP4;OSR2;SOX11;PTN;BMP6
GO_Biological_Process_2023	Regulation Of BMP Signaling Pathway (GO:0030510)	6/75	1.052734e-04	1.579979e-02	0	0	8.844016e+00	8.100190e+01	BMP4;SFRP4;TNFAIP6;UBE2O;SOX11;PCSK6
GO_Biological_Process_2023	Positive Regulation Of Protein Phosphorylation (GO:0001934)	13/377	1.142839e-04	1.583271e-02	0	0	3.711994e+00	3.369312e+01	NTRK2;RARRES2;PDGFA;AGT;BMP6;C3;BMP4;GHR;BMP3;SFRP2;CCND1;CCL19;GAS6
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	25/1127	1.575744e-04	1.894869e-02	0	0	2.423905e+00	2.122277e+01	RORA;ZFP36L1;GJA1;EFEMP1;CREB3L1;ZC3H12A;ADNP2;RREB1;CD34;IL33;OSR2;NTRK2;GSN;SOX11;ANK3;PARP14;POU3F1;KLF4;RUNX3;BMP6;BMP4;SFRP4;SFRP2;TYROBP;GAS6
GO_Biological_Process_2023	Regulation Of Inflammatory Response (GO:0050727)	10/240	1.578181e-04	1.894869e-02	0	0	4.478261e+00	3.920300e+01	IL33;ANXA1;MYO1C;TNFAIP6;RORA;METRNL;KLF4;S100A9;AGT;GPSM3
GO_Biological_Process_2023	Cellular Response To Growth Factor Stimulus (GO:0071363)	8/155	1.705793e-04	1.920083e-02	0	0	5.570578e+00	4.833207e+01	BMP4;TMEM100;CLEC3B;ANXA1;NDNF;KLF4;BMP6;ZFP36L1
GO_Biological_Process_2023	Endothelium Development (GO:0003158)	3/12	2.027670e-04	2.148138e-02	0	0	3.348731e+01	2.847578e+02	JAG1;SCUBE1;CD34
GO_Biological_Process_2023	Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732)	4/30	2.169064e-04	2.170269e-02	0	0	1.552119e+01	1.309375e+02	SOCS3;SFRP2;SH3BP5;PARP14
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	19/766	2.587947e-04	2.335390e-02	0	0	2.677428e+00	2.211415e+01	EPHA4;CGREF1;OSR2;NTRK2;JAG1;PDGFA;IRS2;PTN;AGT;BMP6;ZFP36L1;BMP4;SFRP4;SFRP2;MYO1C;DDAH1;ADAMTS1;BCL2;CRLF1
