,pubmed_count
Bcl2,499
Myc,469
Cxcr4,327
Bmp4,161
Icam1,105
Il33,83
Ccnd1,80
Spp1,78
Timp2,60
Nfatc1,57
Col2a1,50
Jag1,48
Fn1,47
Pdgfa,44
Nos2,43
Bmp6,42
Ccr5,37
Ptn,34
Anxa1,29
Alpl,27
S100a9,25
Ibsp,24
Tgfbr1,23
Sox11,23
Ngfr,23
Cdh5,23
Gas6,22
Epha4,22
Ccl7,21
Syk,20
Sfrp2,18
Has2,16
Adamts5,14
Dpt,13
Chi3l1,12
Ghr,12
Adamts1,11
Flt3l,10
Fbn1,9
Itgb3,9
Pdgfc,8
Itgb2,8
Tpm1,8
Csf3r,7
Ptprc,7
Stc1,7
Tgfbi,7
Sfrp4,7
Ntrk2,7
Plxnb2,7
Dcstamp,6
Sele,6
Ccl8,6
Hapln1,6
Gja1,6
Fabp5,6
Pik3cd,5
Sulf1,5
Ncam1,5
Mmp19,5
Nmb,5
Efemp1,5
Ccl19,5
Ackr1,5
Cdh11,5
Col12a1,4
Col8a1,4
Dusp4,4
Dio2,4
Osr2,4
Gsn,4
Saa3,3
Prlr,3
Sdc3,3
Adamts9,3
Col13a1,3
Agt,3
Arsb,3
Creb3l1,3
P4ha1,3
Pik3ap1,2
Scube1,2
Tac1,2
Serpine2,2
Il6ra,2
Myo1c,2
Pcolce2,2
Agrn,2
Col9a1,2
Fcer1g,2
Col11a2,1
Cdo1,1
Adamts12,1
Adamts18,1
Daam2,1
Tmeff2,1
Plxnd1,1
Tnfaip6,1
Gatm,1
Rreb1,1
Nckap1l,1
Matn3,1
Ndnf,1
Col9a2,0
Col23a1,0
Adamts3,0
Lamc3,0
Gng2,0
Ly75,0
Lcp1,0
Gngt2,0
