query,ion_channel_flag,matched_GO_terms,branch
Ackr1,False,,branch_b
Adamts1,False,,branch_b
Adamts12,False,,branch_b
Adamts18,False,,branch_b
Adamts3,False,,branch_b
Adamts5,False,,branch_b
Adamts9,False,,branch_b
Agrn,False,,branch_b
Agt,False,,branch_b
Alpl,False,,branch_b
Anxa1,False,,branch_b
Arsb,False,,branch_b
Bcl2,False,,branch_b
Bmp4,False,,branch_b
Bmp6,False,,branch_b
Ccl19,False,,branch_b
Ccl7,False,,branch_b
Ccl8,False,,branch_b
Ccnd1,False,,branch_b
Ccr5,False,,branch_b
Cdh11,False,,branch_b
Cdh5,False,,branch_b
Cdo1,False,,branch_b
Chi3l1,False,,branch_b
Col11a2,False,,branch_b
Col12a1,False,,branch_b
Col13a1,False,,branch_b
Col23a1,False,,branch_b
Col2a1,False,,branch_b
Col8a1,False,,branch_b
Col9a1,False,,branch_b
Col9a2,False,,branch_b
Creb3l1,False,,branch_b
Csf3r,False,,branch_b
Cxcr4,False,,branch_b
Daam2,False,,branch_b
Dcstamp,False,,branch_b
Dio2,False,,branch_b
Dpt,False,,branch_b
Dusp4,False,,convergent
Efemp1,False,,branch_b
Epha4,False,,branch_b
Fabp5,False,,branch_b
Fbn1,False,,branch_b
Fcer1g,False,,branch_b
Flt3l,False,,branch_b
Fn1,False,,branch_b
Gas6,False,,branch_b
Gatm,False,,branch_b
Ghr,False,,branch_b
Gja1,True,GO:0005243;GO:0005921,branch_b
Gng2,False,,branch_b
Gngt2,False,,branch_b
Gsn,False,,branch_b
Hapln1,False,,branch_b
Has2,False,,branch_b
Ibsp,False,,branch_b
Icam1,False,,branch_b
Il33,False,,branch_b
Il6ra,False,,branch_b
Itgb2,False,,branch_b
Itgb3,False,,branch_b
Jag1,False,,branch_b
Lamc3,False,,branch_b
Lcp1,False,,branch_b
Ly75,False,,branch_b
Matn3,False,,branch_b
Mmp19,False,,branch_b
Myc,False,,branch_b
Myo1c,False,,branch_b
Ncam1,False,,branch_b
Nckap1l,False,,branch_b
Ndnf,False,,branch_b
Nfatc1,False,,convergent
Ngfr,False,,branch_b
Nmb,False,,branch_b
Nos2,False,,branch_b
Ntrk2,False,,branch_b
Osr2,False,,branch_b
P4ha1,False,,branch_b
Pcolce2,False,,branch_b
Pdgfa,False,,branch_b
Pdgfc,False,,branch_b
Pik3ap1,False,,branch_b
Pik3cd,False,,branch_b
Plxnb2,False,,branch_b
Plxnd1,False,,branch_b
Prlr,False,,branch_b
Ptn,False,,branch_b
Ptprc,False,,branch_b
Rreb1,False,,branch_b
S100a9,False,,branch_b
Saa3,False,,convergent
Scube1,False,,branch_b
Sdc3,False,,branch_b
Sele,False,,branch_b
Serpine2,False,,branch_b
Sfrp2,False,,branch_b
Sfrp4,False,,convergent
Sox11,False,,branch_b
Spp1,False,,branch_b
Stc1,False,,branch_b
Sulf1,False,,branch_b
Syk,False,,branch_b
Tac1,False,,branch_b
Tgfbi,False,,branch_b
Tgfbr1,False,,branch_b
Timp2,False,,branch_b
Tmeff2,False,,branch_b
Tnfaip6,False,,branch_b
Tpm1,False,,branch_b
