gene,degree,betweenness
Fn1,46,0.13992628992628994
Ptprc,36,0.09467649467649468
Cxcr4,30,0.02702702702702703
Icam1,27,0.039803439803439804
Spp1,26,0.05122850122850123
Bcl2,24,0.04787059787059787
Col2a1,23,0.054873054873054876
Bmp4,23,0.05630630630630631
Itgb3,22,0.037592137592137594
Fbn1,20,0.06814086814086814
Agt,19,0.02031122031122031
Itgb2,19,0.02407862407862408
Cdh5,19,0.03734643734643735
Ncam1,18,0.02927927927927928
Col9a2,16,0.02542997542997543
Ccr5,16,0.012285012285012286
Syk,16,0.012285012285012286
Myc,15,0.0361998361998362
Ccnd1,14,0.023423423423423424
Col9a1,14,0.003235053235053235
Tgfbr1,14,0.01457821457821458
Sele,14,0.004258804258804259
Pdgfa,13,0.03488943488943489
Timp2,13,0.0266994266994267
Col8a1,13,0.012121212121212121
Anxa1,13,0.05077805077805078
Col11a2,12,0.003931203931203931
Ngfr,12,0.006552006552006552
Jag1,11,0.013431613431613433
Nfatc1,11,0.02719082719082719
Ntrk2,11,0.02194922194922195
Col12a1,11,0.008026208026208027
Ccl19,10,0.005896805896805897
Pik3cd,10,0.005077805077805078
Hapln1,10,0.015724815724815724
Flt3l,9,0.0036036036036036037
Lcp1,9,0.013267813267813268
Nos2,9,0.02031122031122031
Col23a1,9,0.0
Ccl7,9,0.014905814905814906
Il33,9,0.019000819000819
P4ha1,9,0.003276003276003276
Ptn,8,0.01457821457821458
Ibsp,8,0.0013104013104013104
Agrn,8,0.01670761670761671
Col13a1,8,0.0
Gja1,8,0.0009828009828009828
Il6ra,8,0.0029484029484029483
Tac1,7,0.002457002457002457
Fcer1g,7,0.0011466011466011467
Serpine2,7,0.0001638001638001638
Gsn,7,0.02506142506142506
Csf3r,6,0.0
Ccl8,6,0.004258804258804259
Adamts5,6,0.002457002457002457
Adamts1,6,0.0
Has2,6,0.0019656019656019656
Tgfbi,6,0.01031941031941032
Tnfaip6,5,0.016994266994266996
Bmp6,5,0.0019656019656019656
Efemp1,5,0.0019656019656019656
Pcolce2,5,0.0
Gngt2,5,0.001638001638001638
Matn3,5,0.0
Alpl,4,0.0
Ackr1,4,0.0001638001638001638
Cdh11,4,0.0019656019656019656
Nckap1l,4,0.0003276003276003276
Sfrp2,4,0.016216216216216217
Gng2,4,0.0
Sdc3,4,0.0011466011466011467
Pdgfc,4,0.0
Ly75,3,0.0
Sulf1,3,0.000819000819000819
Pik3ap1,3,0.0
Plxnb2,3,0.0003276003276003276
Nmb,3,0.0
Adamts12,3,0.0
Gas6,3,0.0
Adamts9,2,0.0
Chil1,2,0.0
Tpm1,2,0.0
S100a9,2,0.0021294021294021295
Saa3,2,0.0
Prlr,2,0.0
Plxnd1,2,0.0
Ghr,2,0.0
Lamc3,2,0.0
Adamts3,2,0.0
Dcstamp,2,0.0
Dpt,2,0.0
Epha4,2,0.0001638001638001638
Arsb,1,0.0
Gatm,1,0.0
Mmp19,1,0.0
Myo1c,1,0.0
Sfrp4,1,0.0
Osr2,1,0.0
Stc1,1,0.0
Rreb1,1,0.0
Sox11,1,0.0
Cdo1,0,0.0
Chi3l1,0,0.0
Adamts18,0,0.0
Fabp5,0,0.0
Creb3l1,0,0.0
Dio2,0,0.0
Dusp4,0,0.0
Daam2,0,0.0
Ndnf,0,0.0
Scube1,0,0.0
Tmeff2,0,0.0
